Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.12323,0.44182,0.42899,0.55561,0.79054,0.85436,0.90294,0.89256,0.9246,0.46135,0.00246,0.87203,0.82126
0.16768,0.26811,0.2275,0.30043,0.22905,0.41314,0.95264,0.8927,0.98079,0.20483,0.00097,0.85306,0.56501
0.17482,0.22617,0.19984,0.32609,0.1851,0.48384,0.93664,0.84955,0.97533,0.10439,0.00079,0.89555,0.69308
0.16195,0.17047,0.20407,0.48587,0.71651,0.84445,0.92235,0.79298,0.97171,0.03469,0.00058,0.88562,0.72598
0.15332,0.27415,0.28442,0.41837,0.55221,0.66316,0.77635,0.74466,0.94641,0.05905,0.00061,0.90009,0.76005
0.18611,0.22385,0.16546,0.17139,0.15583,0.17045,0.18698,0.15748,0.18704,0.00924,0.00074,0.13445,0.09954
0.09439,0.35943,0.33321,0.37283,0.55265,0.61776,0.67718,0.67736,0.68443,0.39407,0.00697,0.71058,0.65808
0.11093,0.1988,0.21424,0.43249,0.25845,0.71986,0.95479,0.84895,0.98796,0.08064,0.00039,0.92291,0.69801
0.21798,0.25922,0.19563,0.24282,0.30288,0.3588,0.41334,0.45432,0.53068,0.31771,0.00528,0.87688,0.82285
0.09629,0.98243,0.9173,0.95959,0.95395,0.97451,0.98834,0.94728,0.99895,0.39133,0.0007,0.87036,0.04182
0.08787,0.98728,0.91989,0.93555,0.83537,0.89475,0.95703,0.83335,0.9918,0.05558,0.00027,0.92922,0.78525
0.08632,0.28729,0.31253,0.5347,0.43386,0.78117,0.96971,0.87274,0.99572,0.11118,0.00028,0.93906,0.83882
0.09842,0.17761,0.15951,0.24316,0.14516,0.35272,0.99516,0.97432,1.00102,0.59951,0.01246,0.95233,0.87547
0.10243,0.95912,0.892,0.93562,0.89487,0.93181,0.96951,0.89162,0.99289,0.17191,0.00044,0.9368,0.86288
0.14137,0.28027,0.26466,0.43512,0.245,0.6085,0.98059,0.95426,0.99286,0.48995,0.00249,0.9338,0.68027
0.1244,0.20391,0.18618,0.31997,0.17144,0.43158,0.96656,0.89787,0.98993,0.19409,0.00059,0.92778,0.80003
0.17899,0.28183,0.27177,0.40473,0.79869,0.8638,0.93137,0.81534,0.97562,0.05151,0.00098,0.89244,0.73082
0.1969,0.29588,0.26433,0.34059,0.45565,0.52844,0.59878,0.61679,0.73758,0.19495,0.00096,0.9007,0.82975
0.22094,0.25056,0.22485,0.36777,0.40861,0.52466,0.66394,0.54334,0.80096,0.01072,0.00098,0.79742,0.46962
0.13255,0.26343,0.23747,0.30929,0.22941,0.41888,0.97016,0.90576,0.9918,0.22032,0.00059,0.87522,0.58703
0.09445,0.23627,0.22433,0.34061,0.19815,0.45229,0.94934,0.82284,0.98746,0.04793,0.00027,0.92037,0.77344
0.10897,0.32932,0.32636,0.53583,0.28688,0.76451,0.97504,0.89453,0.99647,0.16187,0.00056,0.5541,0.40186
0.09479,0.2028,0.19984,0.30597,0.19295,0.45879,0.98431,0.92688,0.99915,0.28548,0.00036,0.7549,0.5503
0.08833,0.19983,0.19884,0.35206,0.18616,0.52808,0.99354,0.96726,1.00017,0.53669,0.00448,0.80177,0.68313
0.1204,0.26772,0.24412,0.34774,0.20282,0.43855,0.93221,0.7844,0.98009,0.02278,0.00046,0.89943,0.6993
0.14721,0.09875,0.05407,0.0291,0.05512,0.09941,0.14762,0.16036,0.26488,0.00718,0.00051,0.77484,0.64821
0.09714,0.2228,0.21157,0.35659,0.19715,0.51217,0.99977,0.98979,1.00247,0.7485,0.07807,0.95449,0.82702
0.10672,0.304,0.30138,0.46006,0.28777,0.64061,0.99112,0.96508,0.99909,0.52938,0.00412,0.94841,0.92138
0.18776,0.33076,0.28811,0.47268,0.30953,0.67616,0.93113,0.85367,0.97078,0.12208,0.001,0.88935,0.78979
0.10188,0.24024,0.22315,0.28304,0.20065,0.36424,0.94818,0.81819,0.98734,0.04342,0.00032,0.8493,0.57336
